«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2025/12/29,11.38,13.65,13.65,11.38,11.38,19.950001,2.27,204.75,15
2025/12/28,11.38,13.65,13.65,11.38,11.38,19.950001,2.27,6169.8,452
2025/12/23,11.38,13.65,13.65,11.38,11.38,19.950001,2.27,28842.45,2113
2025/11/30,11.38,13.65,13.65,11.38,11.38,19.950001,2.27,232.05,17
2025/11/24,11.38,13.65,13.65,11.38,11.38,19.950001,2.27,1979.25,145
2025/11/23,11.38,13.65,13.65,11.38,11.38,19.950001,2.27,68.25,5
2025/11/10,11.38,13.65,13.65,11.38,11.38,19.950001,2.27,12312.3,902
2025/11/04,11.38,13.65,13.65,11.38,11.38,19.950001,2.27,382.2,28
2025/10/19,11.38,13.65,13.65,11.38,11.38,19.950001,2.27,163.8,12
2025/09/23,11.38,13.65,13.65,11.38,11.38,19.950001,2.27,5460.0,400
2025/09/22,11.38,13.65,13.65,11.38,11.38,19.950001,2.27,7684.95,563
2025/09/21,11.38,13.65,13.65,11.38,11.38,19.950001,2.27,204.75,15
2025/08/12,11.38,13.65,13.65,11.38,11.38,19.950001,2.27,6606.6,484
2025/06/18,17.79,21.34,21.34,17.79,17.79,19.959999,0.0,529.17,24
2025/05/29,17.79,21.34,21.34,17.79,17.79,19.959999,0.0,529.17,24
2025/04/29,17.79,21.34,21.34,17.79,17.79,19.959999,0.0,238.98,11
2025/02/09,17.79,21.34,21.34,17.79,17.79,19.959999,0.0,495.03,23
2025/01/21,17.79,21.34,21.34,17.79,17.79,19.959999,0.0,1416.81,66
2025/01/12,17.79,21.34,21.34,17.79,17.79,19.959999,0.0,7049.91,330
2025/01/02,17.79,21.34,21.34,17.79,17.79,19.959999,0.0,477.96,22
2024/12/10,14.23,17.07,17.07,14.23,14.23,19.959999,2.84,290.19,17
2024/12/08,14.23,17.07,17.07,14.23,14.23,19.959999,2.84,460.89,27
2024/12/04,14.23,17.07,17.07,14.23,14.23,19.959999,2.84,477.96,28
2024/12/03,14.23,17.07,17.07,14.23,14.23,19.959999,2.84,170.7,10
2024/11/24,14.23,17.07,17.07,14.23,14.23,19.959999,2.84,78078.18,4574
2024/11/05,14.23,17.03,17.03,14.23,14.23,19.68,2.8,2980.25,175
2024/10/23,14.23,17.07,17.07,14.23,14.23,19.959999,2.84,256.05,15
2024/10/21,14.23,17.07,17.07,14.23,14.23,19.959999,2.84,119.49,7
2024/10/13,14.23,17.07,17.07,14.23,14.23,19.959999,2.84,34.14,2
2024/10/07,14.23,17.07,17.07,14.23,14.23,19.959999,2.84,1382.67,81
2024/08/19,14.23,17.07,17.07,14.23,14.23,19.959999,2.84,17.07,1
2024/08/15,14.23,17.07,17.07,14.23,14.23,19.959999,2.84,161891.88,9484
2024/08/14,14.23,17.07,17.07,14.23,14.23,19.959999,2.84,273.12,16
2024/08/07,14.23,17.07,17.07,14.23,14.23,19.959999,2.84,71659.86,4198
2024/08/06,14.23,17.07,17.07,14.23,14.23,19.959999,2.84,25041.69,1467
2024/08/04,14.23,17.07,17.07,14.23,14.23,19.959999,2.84,17070.0,1000
2024/07/28,14.23,17.07,17.07,14.23,14.23,19.959999,2.84,136082.05,7972
2024/07/24,14.23,17.07,17.07,14.23,14.23,19.959999,2.84,802.29,47
2024/07/23,14.23,17.07,17.07,14.23,14.23,19.959999,2.84,631.59,37
2024/07/14,14.23,17.07,17.07,14.23,14.23,19.959999,2.84,42197.04,2472
2024/07/10,14.23,17.07,17.07,14.23,14.23,19.959999,2.84,9047.1,530
2024/06/27,14.23,17.07,17.07,14.23,14.23,19.959999,2.84,109009.02,6386
2024/06/26,14.23,17.07,17.07,14.23,14.23,19.959999,2.84,19408.59,1137
2024/06/09,14.23,17.07,17.07,14.23,14.23,19.959999,2.84,17.07,1
2024/05/28,14.23,17.07,17.07,14.23,14.23,19.959999,2.84,56774.82,3326
2024/05/16,14.23,17.07,17.07,14.23,14.23,19.959999,2.84,238.979996,14
2024/05/15,14.23,17.07,17.07,14.23,14.23,19.959999,2.84,166773.90625,9770
