«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,259.0,264.0,248.2,249.5,259.0,-3.67,-9.5,1.3839108E7,53891
2026/01/12,249.0,274.0,247.8,259.0,249.0,4.02,10.0,2.6814126E7,101184
2026/01/11,252.05,256.8,246.0,249.0,252.05,-1.21,-3.05,5390886.0,21571
2026/01/08,257.84,263.4,252.0,252.05,257.84,-2.25,-5.79,6622708.5,25891
2026/01/06,261.63,269.9,256.16,257.84,261.63,-1.45,-3.79,4511950.0,17292
2026/01/05,267.76,276.0,258.03,261.63,267.76,-2.29,-6.13,7951810.0,29800
2026/01/04,263.62,278.0,265.05,267.76,263.62,1.57,4.14,6796630.0,24977
2025/12/31,267.59,284.0,263.0,263.62,267.59,-1.68,-4.49,1.140246E7,42027
2025/12/30,284.4,292.56,265.11,267.59,284.4,-5.91,-16.809999,1.842406E7,65966
2025/12/29,255.51,292.9,253.61,284.4,255.51,11.31,28.889999,5.9820908E7,213283
2025/12/28,268.47,270.0,251.0,255.51,268.47,-4.83,-12.96,1.6743485E7,65190
2025/12/25,251.88,296.99,266.2,268.47,251.88,6.59,16.59,6.378358E7,228932
2025/12/24,209.9,251.88,209.5,251.88,209.9,20.0,41.98,2.6532702E7,109821
2025/12/23,210.85,214.98,209.0,209.9,210.85,-0.39,-0.83,3359194.0,15959
2025/12/22,215.28,217.0,208.0,210.85,215.28,-2.06,-4.43,3355524.5,15795
2025/12/21,217.19,221.98,215.0,215.28,217.19,-1.01,-2.19,3139611.5,14474
2025/12/18,221.86,227.99,216.1,217.19,221.86,-2.1,-4.67,3764899.25,17173
2025/12/17,217.77,235.0,218.45,221.86,217.77,1.88,4.09,7449983.5,32886
2025/12/16,229.61,230.0,215.22,217.77,229.61,-5.16,-11.84,6377550.0,28596
2025/12/15,234.8,235.45,228.0,229.61,234.8,-2.21,-5.19,2883038.25,12418
2025/12/14,239.47,240.49,234.16,234.8,239.47,-1.95,-4.67,3107431.25,13148
2025/12/11,242.37,246.5,238.9,239.47,242.37,-1.2,-2.9,2869119.25,11919
2025/12/10,244.51,247.5,242.03,242.37,244.51,-0.88,-2.14,3080249.75,12618
2025/12/09,244.15,253.0,243.0,244.51,244.15,0.15,0.36,7961156.5,32154
2025/12/08,246.39,249.8,244.0,244.15,246.39,-0.57,-1.4,3838445.0,15639
2025/12/07,247.68,252.0,246.0,246.39,247.68,-0.52,-1.29,3267548.0,13131
2025/12/04,254.88,257.0,246.01,247.68,254.88,-2.82,-7.2,6337546.5,25281
2025/12/03,246.17,268.0,244.5,254.88,246.17,3.54,8.71,2.3017252E7,88991
2025/12/02,248.98,253.3,245.2,246.17,248.98,-1.13,-2.81,3887912.25,15636
2025/12/01,250.71,255.4,248.0,248.98,250.71,-0.69,-1.73,3111310.0,12427
2025/11/30,250.12,260.0,250.0,250.71,250.12,0.24,0.59,8612840.0,34154
