«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,35.03,34.92,33.26,35.03,35.03,-5.05,-1.77,4596.26,138
2026/01/12,35.03,35.14,33.26,35.03,35.03,-0.09,-0.03,23321.62,669
2026/01/08,35.03,35.7,33.21,35.03,35.03,1.28,0.45,2216.46,63
2026/01/06,35.03,35.58,35.58,35.03,35.03,1.57,0.55,35.58,1
2026/01/05,35.03,35.9,33.1,35.03,35.03,-0.69,-0.24,49222.03,1468
2026/01/04,35.03,36.28,34.05,35.03,35.03,2.48,0.87,53706.83,1571
2025/12/31,35.03,36.33,33.9,35.03,35.03,-2.8,-0.98,30104.42,885
2025/12/30,35.03,36.5,33.62,35.03,35.03,0.0,0.0,58584.39,1647
2025/12/29,35.03,35.34,33.85,35.03,35.03,-3.28,-1.15,17693.14,518
2025/12/28,35.03,35.99,33.65,35.03,35.03,-0.11,-0.04,4449.52,128
2025/12/25,34.51,37.74,32.8,35.03,34.51,4.84,1.67,164360.16,4697
2025/12/24,34.51,35.48,33.34,34.51,34.51,1.39,0.48,81999.88,2434
2025/12/23,36.71,39.24,33.04,34.51,36.71,-2.02,-0.74,399116.44,11710
2025/12/22,36.71,39.4,34.4,36.71,36.71,7.33,2.69,71063.67,1872
2025/12/21,36.71,38.99,33.04,36.71,36.71,0.0,0.0,57905.86,1657
2025/12/18,36.71,39.89,33.32,36.71,36.71,8.66,3.18,61178.82,1613
2025/12/17,36.3,39.93,32.67,36.71,36.3,-10.0,-3.63,412762.69,11200
2025/12/16,36.3,36.3,33.5,36.3,36.3,-4.46,-1.62,43069.85,1236
2025/12/15,34.0,37.4,31.51,36.3,34.0,8.82,3.0,237423.3,6755
2025/12/14,34.0,33.76,31.52,34.0,34.0,-1.26,-0.43,10479.0,321
2025/12/11,34.0,33.48,31.51,34.0,34.0,-2.94,-1.0,20810.83,626
2025/12/10,34.0,33.66,31.31,34.0,34.0,-7.35,-2.5,18298.66,581
2025/12/09,34.0,33.78,33.18,34.0,34.0,-0.65,-0.22,15113.36,454
2025/12/08,34.0,33.78,30.8,34.0,34.0,-8.79,-2.99,10624.58,328
2025/12/04,34.0,33.97,31.01,34.0,34.0,-0.09,-0.03,10480.76,333
2025/12/03,34.0,33.97,30.98,34.0,34.0,-8.82,-3.0,5683.53,171
2025/12/02,34.0,33.97,30.95,34.0,34.0,-8.94,-3.04,19961.31,601
2025/12/01,34.0,33.98,30.93,34.0,34.0,-9.03,-3.07,23839.17,753
2025/11/30,34.0,33.99,30.77,34.0,34.0,-9.09,-3.09,21399.97,654
2025/11/27,34.0,34.0,30.73,34.0,34.0,-9.53,-3.24,51601.29,1572
2025/11/26,34.0,32.46,30.63,34.0,34.0,-5.97,-2.03,5746.47,181
2025/11/25,34.0,32.48,31.06,34.0,34.0,-8.53,-2.9,26493.8,848
2025/11/24,34.0,33.2,31.02,34.0,34.0,-3.29,-1.12,3097.18,97
2025/11/23,34.0,33.44,30.68,34.0,34.0,-2.35,-0.8,44635.43,1366
2025/11/20,34.0,33.28,30.61,34.0,34.0,-4.18,-1.42,15171.67,487
2025/11/19,34.0,32.5,32.5,34.0,34.0,-4.41,-1.5,325.0,10
2025/11/18,34.0,32.5,30.67,34.0,34.0,-4.47,-1.52,3475.55,107
2025/11/17,34.0,32.97,30.64,34.0,34.0,-3.03,-1.03,41602.16,1334
2025/11/16,34.0,34.9,31.0,34.0,34.0,-0.32,-0.11,6995.12,218
2025/11/13,34.0,35.71,31.0,34.0,34.0,-0.32,-0.11,108385.58,3296
2025/11/12,31.1,34.21,30.55,34.0,31.1,1.93,0.6,219548.95,6587
2025/11/11,31.1,31.89,30.58,31.1,31.1,1.93,0.6,15672.47,506
2025/11/10,33.96,36.0,30.6,31.1,33.96,-6.1,-2.07,320847.19,9894
2025/11/09,37.45,36.0,33.71,33.96,37.45,-9.32,-3.49,170187.88,5014
2025/11/02,37.45,33.71,33.71,37.45,37.45,-9.99,-3.74,1955.18,58
2025/10/30,37.45,34.0,33.71,37.45,37.45,-9.21,-3.45,5807.62,171
2025/10/29,37.45,34.0,34.0,37.45,37.45,-9.21,-3.45,6562.0,193
2025/10/28,37.45,34.29,33.71,37.45,37.45,-8.44,-3.16,27858.89,825
2025/10/27,37.45,34.29,33.71,37.45,37.45,-8.44,-3.16,84212.74,2498
2025/10/26,37.45,34.29,33.75,37.45,37.45,-8.44,-3.16,3817.73,113
2025/10/23,37.45,36.0,33.75,37.45,37.45,-9.85,-3.69,49769.05,1446
2025/10/22,37.45,34.25,33.75,37.45,37.45,-9.88,-3.7,17035.5,504
2025/10/21,37.45,34.7,33.74,37.45,37.45,-7.34,-2.75,16297.91,478
2025/10/20,37.45,34.3,33.72,37.45,37.45,-9.75,-3.65,29609.28,875
2025/10/19,37.45,34.27,33.71,37.45,37.45,-8.49,-3.18,50708.49,1503
2025/10/16,37.45,34.25,33.75,37.45,37.45,-9.88,-3.7,8866.75,262
2025/10/15,37.45,34.27,33.71,37.45,37.45,-9.99,-3.74,2868.15,85
2025/10/14,37.45,34.27,33.71,37.45,37.45,-8.49,-3.18,10503.41,311
2025/10/13,37.45,34.27,33.71,37.45,37.45,-9.99,-3.74,39889.6,1177
