«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,73.37,74.64,72.0,72.16,73.37,-1.65,-1.21,4999177.0,68608
2026/01/12,74.85,76.99,73.05,73.37,74.85,-1.98,-1.48,5231086.0,69470
2026/01/11,77.14,77.89,74.25,74.85,77.14,-2.97,-2.29,6274207.0,82592
2026/01/08,75.75,81.8,76.26,77.14,75.75,1.83,1.39,2.85475E7,358340
2026/01/06,74.82,79.79,74.85,75.75,74.82,1.24,0.93,1.0109051E7,130629
2026/01/05,73.42,76.95,72.5,74.82,73.42,1.91,1.4,1.3534818E7,179057
2026/01/04,73.33,74.0,73.0,73.42,73.33,-0.3,-0.22,1727736.5,23519
2025/12/31,73.89,76.89,73.03,73.33,73.89,-0.76,-0.56,4480919.0,60204
2025/12/30,78.02,79.84,72.1,73.89,78.02,-5.29,-4.13,7409343.5,98824
2025/12/29,77.46,81.0,76.53,78.02,77.46,0.7,0.54,6908518.0,87287
2025/12/28,77.86,84.0,75.0,77.46,77.86,-0.51,-0.4,1.5072767E7,191303
2025/12/25,72.06,79.0,71.66,77.86,72.06,8.05,5.8,1.0573648E7,140369
2025/12/24,70.84,75.4,71.05,72.06,70.84,1.72,1.22,3369618.25,46103
2025/12/23,70.54,71.9,70.6,70.84,70.54,1.42,1.0,1493687.38,21030
2025/12/22,74.47,75.79,70.16,70.54,74.47,-5.2,-3.87,3027262.75,41946
2025/12/21,76.47,79.9,74.0,74.47,76.47,-2.62,-2.0,5676390.5,73612
2025/12/18,81.85,89.7,74.07,76.47,81.85,-6.57,-5.38,2.5751522E7,318161
2025/12/17,68.21,81.85,70.12,81.85,68.21,20.0,13.64,2.180739E7,276610
2025/12/16,70.96,71.99,68.0,68.21,70.96,-3.88,-2.75,1227491.88,17931
2025/12/15,66.8,72.0,66.55,70.96,66.8,6.23,4.16,2907671.0,41706
2025/12/14,66.29,67.68,65.71,66.8,66.29,0.33,0.22,844301.5,12658
2025/12/11,66.42,67.37,66.1,66.29,66.42,-0.33,-0.22,356818.56,5379
2025/12/10,67.5,68.98,65.7,66.42,67.5,-1.6,-1.08,1367820.75,20570
2025/12/09,65.17,71.38,64.64,67.5,65.17,3.58,2.33,2172651.5,32211
2025/12/08,64.96,67.3,64.64,65.17,64.96,-0.43,-0.28,525981.0,8010
2025/12/07,66.27,66.43,64.5,64.96,66.27,-0.41,-0.27,478619.25,7355
2025/12/04,66.07,68.5,65.12,66.27,66.07,0.27,0.18,709265.81,10640
2025/12/03,65.03,66.43,64.0,66.07,65.03,2.15,1.4,817802.88,12545
2025/12/02,66.4,67.0,64.01,65.03,66.4,-2.06,-1.37,832412.06,12771
2025/12/01,66.4,66.89,65.0,66.4,66.4,-0.62,-0.41,259838.64,3969
2025/11/30,66.4,67.1,65.35,66.4,66.4,-0.89,-0.59,260242.16,3940
2025/11/27,67.34,68.0,65.0,66.4,67.34,-1.99,-1.34,523615.19,7921
2025/11/26,66.99,69.9,65.62,67.34,66.99,0.52,0.35,719113.13,10735
2025/11/25,66.25,73.0,65.9,66.99,66.25,1.12,0.74,4016578.75,58382
2025/11/24,66.19,68.0,64.06,66.25,66.19,1.22,0.81,1773050.25,26926
2025/11/23,67.97,69.5,66.0,66.19,67.97,-2.9,-1.97,1984692.63,29548
2025/11/20,70.39,70.39,67.3,67.97,70.39,-3.44,-2.42,1654540.63,24116
2025/11/19,69.54,71.5,69.0,70.39,69.54,0.01,0.01,587219.63,8380
2025/11/18,72.58,73.0,69.0,69.54,72.58,-3.55,-2.58,1539478.63,21792
2025/11/17,73.08,74.5,71.6,72.58,73.08,-0.68,-0.5,2347204.5,32385
2025/11/16,73.73,78.0,72.86,73.08,73.73,-0.88,-0.65,3580559.0,47649
2025/11/13,73.06,74.0,72.0,73.73,73.06,1.26,0.92,2796689.25,38368
2025/11/12,72.41,74.4,72.22,73.06,72.41,0.9,0.65,1788208.75,24490
2025/11/11,72.51,75.9,72.1,72.41,72.51,-0.43,-0.31,2176346.25,29657
2025/11/10,74.35,75.82,72.0,72.51,74.35,-2.1,-1.56,1918533.5,26473
2025/11/09,76.19,79.49,74.03,74.35,76.19,-2.42,-1.84,2063585.63,27535
2025/11/06,75.18,82.5,74.0,76.19,75.18,1.34,1.01,1.0499711E7,133982
2025/11/05,69.71,80.9,69.8,75.18,69.71,7.85,5.47,1.4693586E7,192307
2025/11/04,70.39,71.48,69.01,69.71,70.39,0.14,0.1,451345.5,6475
2025/11/03,69.02,71.0,68.26,70.39,69.02,1.98,1.37,627018.75,8921
2025/11/02,69.65,70.99,68.1,69.02,69.65,-0.9,-0.63,426763.41,6166
2025/10/30,69.85,71.89,69.4,69.65,69.85,0.17,0.12,505959.03,7251
2025/10/29,69.75,73.0,69.51,69.85,69.75,0.14,0.1,1847225.88,26093
2025/10/28,70.94,71.8,69.4,69.75,70.94,-2.03,-1.44,324115.69,4641
2025/10/27,70.14,73.0,69.4,70.94,70.14,1.14,0.8,581721.94,8180
2025/10/26,69.26,70.99,69.4,70.14,69.26,0.2,0.14,739990.44,10561
2025/10/23,70.59,70.99,66.05,69.26,70.59,-0.13,-0.09,1498156.38,21751
2025/10/22,70.43,71.99,70.02,70.59,70.43,0.23,0.16,1616122.0,22777
2025/10/21,72.29,73.0,70.07,70.43,72.29,-2.57,-1.86,1356512.5,19045
