«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,311.84,314.0,307.01,309.2,311.84,-1.47,-4.58,491227.81,1589
2026/01/12,306.1,315.0,307.0,311.84,306.1,1.44,4.4,596036.5,1913
2026/01/11,306.1,309.43,307.0,306.1,306.1,0.78,2.4,103247.55,335
2026/01/08,306.1,309.43,306.0,306.1,306.1,0.0,0.0,127563.53,415
2026/01/06,306.1,309.5,307.21,306.1,306.1,0.42,1.3,163381.91,530
2026/01/05,309.44,314.2,305.01,306.1,309.44,-0.14,-0.44,667337.06,2167
2026/01/04,309.56,311.0,307.0,309.44,309.56,0.47,1.44,373674.16,1208
2025/12/31,311.6,312.0,306.2,309.56,311.6,-0.67,-2.1,622297.81,2015
2025/12/30,313.46,316.5,306.2,311.6,313.46,-1.1,-3.46,730635.25,2340
2025/12/29,313.46,316.5,305.02,313.46,313.46,0.49,1.54,279677.66,896
2025/12/28,312.12,317.9,310.0,313.46,312.12,0.43,1.34,411653.72,1313
2025/12/25,307.97,317.9,309.0,312.12,307.97,1.96,6.03,675755.81,2152
2025/12/24,306.49,325.0,303.6,307.97,306.49,0.48,1.48,2617852.5,8277
2025/12/23,306.21,310.0,304.0,306.49,306.21,-0.72,-2.21,325227.88,1061
2025/12/22,306.32,308.4,304.55,306.21,306.32,0.55,1.68,635109.13,2068
2025/12/21,305.52,309.0,303.0,306.32,305.52,-0.66,-2.02,710551.81,2318
2025/12/18,308.0,310.0,304.0,305.52,308.0,-1.3,-4.0,688987.25,2248
2025/12/17,309.64,312.99,307.0,308.0,309.64,-0.53,-1.64,925458.25,3003
2025/12/16,305.51,318.7,304.1,309.64,305.51,1.35,4.13,632829.25,2051
2025/12/15,303.96,305.99,303.01,305.51,303.96,0.05,0.15,441165.34,1445
2025/12/14,303.96,305.0,303.01,303.96,303.96,0.01,0.04,254427.41,837
2025/12/11,303.96,306.08,303.01,303.96,303.96,-0.12,-0.36,267292.5,877
2025/12/10,304.41,307.0,303.01,303.96,304.41,-0.08,-0.23,497695.78,1636
2025/12/09,304.41,306.0,303.0,304.41,304.41,-0.46,-1.41,255338.19,839
2025/12/08,304.41,306.5,302.0,304.41,304.41,-0.46,-1.41,203982.95,672
2025/12/07,305.74,307.9,303.51,304.41,305.74,-0.24,-0.74,365834.16,1201
2025/12/04,305.74,308.75,304.0,305.74,305.74,0.58,1.76,152905.8,499
2025/12/03,310.55,308.9,301.5,305.74,310.55,-2.11,-6.55,1572590.38,5149
2025/12/02,310.55,309.0,303.0,310.55,310.55,-0.53,-1.65,176888.66,578
2025/12/01,310.55,314.98,303.16,310.55,310.55,-1.79,-5.55,240381.77,777
2025/11/30,303.57,318.0,307.21,310.55,303.57,2.12,6.43,842326.81,2695
2025/11/27,315.85,319.0,300.0,303.57,315.85,-3.44,-10.86,618001.25,2002
2025/11/26,317.75,320.0,314.0,315.85,317.75,-1.18,-3.75,444777.03,1408
2025/11/25,317.75,323.9,315.69,317.75,317.75,-0.52,-1.65,269892.09,851
2025/11/24,324.64,327.0,310.61,317.75,324.64,-0.91,-2.94,446730.28,1401
2025/11/23,321.96,327.5,319.0,324.64,321.96,-0.76,-2.45,672941.13,2084
2025/11/20,324.63,330.0,317.01,321.96,324.63,-1.41,-4.57,755705.44,2334
2025/11/19,324.63,327.98,318.0,324.63,324.63,-2.02,-6.56,130076.38,404
2025/11/18,329.17,330.0,316.15,324.63,329.17,-0.37,-1.22,366389.13,1130
2025/11/17,326.81,331.0,300.0,329.17,326.81,-0.52,-1.71,1230490.25,3805
2025/11/16,330.8,332.49,326.0,326.81,330.8,-1.45,-4.8,313853.38,960
2025/11/13,325.33,333.02,324.05,330.8,325.33,0.22,0.7,804852.06,2437
2025/11/12,328.5,333.9,322.1,325.33,328.5,1.06,3.48,1097991.25,3358
2025/11/11,332.91,336.89,328.0,328.5,332.91,-1.47,-4.91,420297.03,1275
2025/11/10,331.57,338.98,328.0,332.91,331.57,0.64,2.13,491999.5,1472
2025/11/09,343.13,340.0,322.35,331.57,343.13,-2.84,-9.73,752518.63,2254
2025/11/06,333.01,345.0,320.01,343.13,333.01,1.74,5.79,1979548.75,5881
2025/11/05,363.58,347.0,315.11,333.01,363.58,-8.01,-29.139999,2677172.25,7966
2025/11/04,347.42,353.77,340.0,340.58,347.42,-1.85,-6.84,5004130.5,13532
2025/11/03,342.87,355.0,341.01,347.42,342.87,1.24,4.55,3285169.5,8874
2025/11/02,339.85,345.0,341.0,342.87,339.85,1.03,3.72,636920.25,1738
2025/10/30,340.04,345.75,338.04,339.85,340.04,0.4,1.46,728019.13,2003
2025/10/29,340.88,347.0,338.0,340.04,340.88,0.71,2.57,548120.06,1505
2025/10/28,347.05,352.0,338.0,340.88,347.05,-2.44,-9.04,1167327.38,3165
2025/10/27,352.33,356.95,347.0,347.05,352.33,-1.42,-5.32,1764350.5,4731
2025/10/26,355.34,360.99,347.07,352.33,355.34,-1.68,-6.34,1289753.25,3426
2025/10/23,352.54,367.0,352.0,355.34,352.54,-0.14,-0.54,1586261.88,4151
2025/10/22,345.23,366.0,344.0,352.54,345.23,1.99,7.31,4532167.0,11987
2025/10/21,327.56,355.9,327.72,345.23,327.56,4.69,16.440001,4886681.5,13326
2025/10/20,314.21,345.94,314.01,327.56,314.21,3.79,12.79,4284940.5,12300
2025/10/19,313.09,320.98,310.11,314.21,313.09,1.07,3.61,614728.94,1819
2025/10/16,312.37,316.95,310.0,313.09,312.37,1.35,4.53,1217805.13,3625
2025/10/15,311.52,324.0,307.0,312.37,311.52,1.61,5.38,1483515.13,4393
2025/10/14,298.41,317.0,295.0,311.52,298.41,4.08,13.11,5093125.0,15453
2025/10/13,297.84,302.0,297.0,298.41,297.84,0.95,3.04,631828.38,1963
2025/10/12,296.67,300.18,287.16,297.84,296.67,1.01,3.23,1336409.38,4200
2025/10/08,292.13,300.28,292.13,296.67,292.13,0.34,1.07,823396.31,2579
2025/10/07,290.81,297.0,287.05,292.13,290.81,0.43,1.35,608773.56,1928
2025/10/06,296.92,300.0,287.0,290.81,296.92,-0.57,-1.82,1378651.0,4386
2025/10/05,295.98,300.0,292.75,296.92,295.98,0.02,0.07,593275.31,1861
2025/10/02,295.98,295.0,293.1,295.98,295.98,-0.32,-1.03,224656.27,709
2025/10/01,295.98,297.0,292.01,295.98,295.98,-0.31,-0.98,130349.09,409
2025/09/30,295.98,299.0,293.0,295.98,295.98,0.24,0.77,235644.05,743
2025/09/29,292.88,301.99,290.0,295.98,292.88,1.4,4.42,918049.94,2909
2025/09/28,293.91,296.92,290.0,292.88,293.91,0.31,0.99,451490.44,1429
2025/09/25,296.41,297.0,290.5,293.91,296.41,-0.44,-1.41,512499.34,1617
2025/09/24,293.58,305.99,288.02,296.41,293.58,1.93,6.12,490423.47,1542
2025/09/23,297.03,311.0,290.0,293.58,297.03,-0.01,-0.04,2160612.0,6691
2025/09/22,297.03,299.96,289.21,297.03,297.03,-2.2,-7.03,143954.56,456
2025/09/21,298.18,301.3,287.0,297.03,298.18,-1.3,-4.18,311640.16,974
2025/09/18,298.18,301.92,292.55,298.18,298.18,-0.99,-3.18,253292.84,794
2025/09/17,294.08,301.92,286.0,298.18,294.08,2.47,7.84,397348.09,1239
2025/09/16,300.5,306.0,287.01,294.08,300.5,-1.98,-6.4,949782.81,2969
2025/09/15,303.84,306.99,278.0,300.5,303.84,-0.56,-1.84,4640274.5,14848
2025/09/14,307.18,313.96,297.42,303.84,307.18,-1.57,-5.18,666317.31,2034
2025/09/11,307.32,311.8,303.01,307.18,307.32,0.66,2.18,768641.94,2324
2025/09/10,308.75,316.67,298.0,307.32,308.75,-0.23,-0.75,1254393.5,3777
2025/09/09,315.12,318.0,308.53,308.75,315.12,-1.88,-6.37,1019394.0,3047
2025/09/08,323.16,336.96,308.0,315.12,323.16,-2.32,-8.04,2785374.5,8183
2025/09/07,306.9,343.99,298.06,323.16,306.9,3.52,11.6,3001490.0,8772
2025/09/03,324.33,344.0,297.51,306.9,324.33,-5.02,-17.43,3387760.5,10177
2025/09/02,308.52,336.0,299.29,324.33,308.52,5.27,17.48,4774521.0,14125
2025/09/01,373.26,447.0,305.0,308.52,373.26,-16.34,-64.739998,2.3092124E7,53790
2025/08/31,310.91,377.69,292.0,373.26,310.91,18.67,62.349998,1.8672118E7,49056
2025/08/28,271.56,321.0,273.0,310.91,271.56,12.03,35.439999,2403284.75,7339
2025/08/27,271.56,276.73,269.6,271.56,271.56,0.15,0.44,79761.36,269
2025/08/26,270.51,277.0,269.5,271.56,270.51,0.03,0.09,863171.0,2918
2025/08/25,268.43,275.42,269.48,270.51,268.43,0.88,2.57,563905.0,1914
2025/08/24,268.43,276.9,268.01,268.43,268.43,2.21,6.45,246551.91,840
2025/08/21,268.43,274.99,269.0,268.43,268.43,1.9,5.55,40313.39,136
2025/08/20,268.43,275.0,269.6,268.43,268.43,0.4,1.17,139341.84,473
2025/08/19,268.43,275.99,269.51,268.43,268.43,2.51,7.31,179763.69,612
2025/08/18,268.43,277.0,268.15,268.43,268.43,2.94,8.56,152127.94,512
2025/08/17,268.43,275.0,264.51,268.43,268.43,1.82,5.3,99421.07,339
2025/08/14,271.49,275.9,244.0,268.43,271.49,1.19,3.51,442959.91,1513
2025/08/13,271.49,275.9,271.54,271.49,271.49,0.21,0.61,83621.47,283
2025/08/12,271.49,276.99,271.12,271.49,271.49,1.52,4.49,84792.08,284
2025/08/11,279.13,279.0,271.26,271.49,279.13,-1.4,-4.23,331453.63,1125
2025/08/10,279.13,280.5,270.0,279.13,279.13,-0.04,-0.13,252962.64,845
2025/08/07,274.68,282.0,268.0,279.13,274.68,-0.23,-0.68,447376.88,1493
2025/08/06,274.68,276.9,270.3,274.68,274.68,0.71,2.12,71340.2,240
2025/08/05,274.68,277.0,270.0,274.68,274.68,0.71,2.12,25542.27,86
2025/08/04,274.68,277.49,270.18,274.68,274.68,0.78,2.32,73037.43,248
2025/08/03,274.68,277.0,270.09,274.68,274.68,0.78,2.32,51178.53,171
2025/07/31,274.68,276.9,270.0,274.68,274.68,-0.9,-2.68,135558.91,460
2025/07/30,274.68,277.0,271.0,274.68,274.68,0.0,-3.68,102811.08,345
2025/07/29,274.68,278.5,271.02,274.68,274.68,-0.9,-2.67,11852.72,40
2025/07/28,274.68,278.99,274.33,274.68,274.68,-0.04,-0.13,68156.44,227
2025/07/27,274.68,281.99,275.01,274.68,274.68,0.11,0.33,20337.52,67
2025/07/23,269.04,276.9,271.02,274.68,269.04,2.69,7.86,318471.06,1070
