«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,55.1,56.27,53.0,53.79,55.1,-3.59,-1.98,1689424.5,30967
2026/01/12,56.18,57.0,54.0,55.1,56.18,-1.92,-1.08,2057404.13,37054
2026/01/11,56.28,57.95,55.56,56.18,56.28,0.48,0.27,4101172.25,72038
2026/01/08,54.56,59.3,54.6,56.28,54.56,3.15,1.72,1.1099682E7,194241
2026/01/06,54.12,56.0,54.0,54.56,54.12,0.81,0.44,865001.56,15744
2026/01/05,55.93,56.6,54.0,54.12,55.93,-3.24,-1.81,1350281.5,24600
2026/01/04,55.11,57.75,55.25,55.93,55.11,1.27,0.7,818501.25,14476
2025/12/31,56.69,57.38,55.02,55.11,56.69,-2.79,-1.58,1753719.0,31312
2025/12/30,56.56,57.64,56.4,56.69,56.56,0.23,0.13,1549095.0,27203
2025/12/29,56.83,57.94,56.4,56.56,56.83,-0.48,-0.27,1635632.38,28692
2025/12/28,56.29,58.0,56.0,56.83,56.29,0.57,0.32,1368221.13,23969
2025/12/25,57.78,58.48,56.0,56.29,57.78,-2.58,-1.49,2881539.5,50461
2025/12/24,58.01,59.24,57.5,57.78,58.01,-0.36,-0.21,1319618.75,22778
2025/12/23,58.84,60.0,57.69,58.01,58.84,-1.41,-0.83,1383348.63,23542
2025/12/22,58.0,60.5,58.52,58.84,58.0,1.72,1.0,3949265.25,66348
2025/12/21,57.65,59.0,57.11,58.0,57.65,0.61,0.35,2079192.13,35612
2025/12/18,57.78,60.25,57.21,57.65,57.78,-0.22,-0.13,4503913.5,76812
2025/12/17,56.27,61.01,56.27,57.78,56.27,2.68,1.51,1.5727482E7,265979
2025/12/16,55.55,56.55,54.3,56.27,55.55,1.3,0.72,1073617.13,19253
2025/12/15,56.01,57.0,54.73,55.55,56.01,-1.5,-0.84,843096.31,15147
2025/12/14,53.26,58.98,53.5,56.01,53.26,4.69,2.5,5320199.0,94165
2025/12/11,54.13,54.88,52.2,53.26,54.13,-0.24,-0.13,794330.75,14924
2025/12/10,54.01,55.4,53.55,54.13,54.01,0.22,0.12,4645344.5,85101
2025/12/09,48.24,56.0,48.1,54.01,48.24,11.96,5.77,1.2363873E7,234716
2025/12/08,48.7,48.89,48.01,48.24,48.7,-0.86,-0.42,754097.56,15590
2025/12/07,48.55,49.87,48.5,48.7,48.55,-0.1,-0.05,474600.41,9736
2025/12/04,49.27,50.0,48.5,48.55,49.27,-1.46,-0.72,675496.31,13834
2025/12/03,49.78,50.28,48.51,49.27,49.78,-0.66,-0.33,853619.25,17355
