«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,101.73,104.99,100.0,100.05,101.73,-1.69,-1.72,1513018.13,14937
2026/01/12,99.65,105.0,99.62,101.73,99.65,2.09,2.08,4839475.0,47111
2026/01/11,99.93,100.97,99.3,99.65,99.93,-0.42,-0.42,879530.13,8814
2026/01/08,100.29,102.5,99.31,99.93,100.29,-0.36,-0.36,1642626.63,16439
2026/01/06,99.9,101.49,99.4,100.29,99.9,0.2,0.2,1047562.69,10436
2026/01/05,102.05,102.75,99.55,99.9,102.05,-2.11,-2.15,2694544.5,26836
2026/01/04,102.59,106.0,101.99,102.05,102.59,-0.58,-0.59,1501098.5,14561
2025/12/31,104.27,105.49,102.03,102.59,104.27,-1.61,-1.68,4027550.5,38945
2025/12/30,106.79,107.99,104.2,104.27,106.79,-2.36,-2.52,6237435.0,58924
2025/12/29,104.17,111.99,103.7,106.79,104.17,2.52,2.62,1.2346254E7,114286
2025/12/28,107.49,108.4,103.62,104.17,107.49,-3.09,-3.32,1965042.5,18676
2025/12/25,110.53,115.0,106.51,107.49,110.53,-2.75,-3.04,1.0611125E7,95887
2025/12/24,99.73,114.89,99.53,110.53,99.73,10.83,10.8,1.8709994E7,171201
2025/12/23,99.94,101.0,99.03,99.73,99.94,-0.41,-0.41,533320.19,5340
2025/12/22,99.66,102.0,99.7,99.94,99.66,0.04,0.04,747857.44,7440
2025/12/21,99.9,102.43,99.0,99.66,99.9,0.1,0.1,419153.88,4206
2025/12/18,100.29,102.44,99.7,99.9,100.29,-0.39,-0.39,1164568.25,11619
2025/12/17,99.44,103.0,99.0,100.29,99.44,1.57,1.56,1684113.13,16631
2025/12/16,102.3,102.96,98.0,99.44,102.3,-2.8,-2.86,1224409.63,12197
