«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,33.63,33.89,33.08,33.63,33.63,-1.13,-0.38,5862.12,176
2026/01/12,33.63,34.0,33.01,33.63,33.63,-1.69,-0.57,40120.24,1207
2026/01/11,33.18,34.1,33.0,33.63,33.18,-0.33,-0.11,415518.44,12401
2026/01/08,34.28,34.09,33.0,33.18,34.28,-3.73,-1.28,461353.31,13837
2026/01/06,34.28,34.09,33.56,34.28,34.28,-1.98,-0.68,3532.58,104
2026/01/05,34.28,34.25,33.55,34.28,34.28,-0.53,-0.18,74356.9,2184
2026/01/04,34.28,34.4,33.56,34.28,34.28,-2.1,-0.72,62402.26,1840
2025/12/31,34.28,34.05,34.05,34.28,34.28,-0.67,-0.23,68440.5,2010
2025/12/30,34.89,34.9,33.55,34.28,34.89,-2.32,-0.81,380395.38,11096
2025/12/29,34.89,34.49,33.55,34.89,34.89,-1.69,-0.59,80275.76,2350
2025/12/28,34.89,34.44,33.5,34.89,34.89,-3.84,-1.34,139807.05,4161
2025/12/25,34.89,34.07,33.5,34.89,34.89,-2.35,-0.82,43812.99,1301
2025/12/24,34.05,36.0,33.03,34.89,34.05,-1.32,-0.45,430636.69,12411
2025/12/23,34.05,33.89,33.0,34.05,34.05,-3.02,-1.03,185404.56,5581
2025/12/22,34.05,34.0,33.1,34.05,34.05,-2.5,-0.85,8717.08,262
2025/12/21,34.05,34.39,33.01,34.05,34.05,0.0,0.0,27948.48,834
2025/12/18,34.05,34.74,33.06,34.05,34.05,0.0,0.0,292740.94,8753
2025/12/17,33.93,34.96,33.33,34.05,33.93,0.21,0.07,509813.63,14872
2025/12/16,33.93,34.4,33.1,33.93,33.93,1.21,0.41,289650.41,8655
2025/12/15,33.93,34.73,33.33,33.93,33.93,-1.12,-0.38,135934.09,3998
2025/12/14,33.49,37.0,33.0,33.93,33.49,0.51,0.17,1709034.5,48914
2025/12/11,33.49,33.98,33.1,33.49,33.49,0.57,0.19,56976.25,1692
2025/12/10,33.49,33.75,33.1,33.49,33.49,0.48,0.16,11775.8,352
2025/12/09,33.49,33.75,33.1,33.49,33.49,0.03,0.01,28773.85,859
2025/12/08,32.94,33.75,32.55,33.49,32.94,1.09,0.36,315290.09,9418
2025/12/07,32.94,33.4,31.03,32.94,32.94,0.18,0.06,209604.53,6439
2025/12/04,32.94,33.48,32.5,32.94,32.94,-0.09,-0.03,166222.13,5102
2025/12/03,32.94,34.47,32.2,32.94,32.94,0.18,0.06,122663.83,3755
2025/12/02,31.77,35.83,30.7,32.94,31.77,3.68,1.17,3419611.0,100633
2025/12/01,31.77,32.45,30.87,31.77,31.77,0.0,0.0,56634.69,1800
2025/11/30,31.77,31.6,30.83,31.77,31.77,-1.32,-0.42,128271.53,4148
2025/11/27,31.77,32.5,30.31,31.77,31.77,-2.9,-0.92,111036.48,3545
2025/11/26,31.77,32.15,30.7,31.77,31.77,0.25,0.08,149663.45,4787
2025/11/25,31.99,32.5,31.4,31.77,31.99,-1.84,-0.59,1460015.63,45930
2025/11/24,31.99,32.2,31.2,31.99,31.99,-2.06,-0.66,182271.2,5725
2025/11/23,31.99,32.23,31.5,31.99,31.99,-1.44,-0.46,173655.03,5465
2025/11/20,32.41,33.2,31.78,31.99,32.41,-1.3,-0.42,810259.38,25168
2025/11/19,32.41,33.8,32.31,32.41,32.41,0.19,0.06,111820.81,3402
2025/11/18,33.07,33.8,32.02,32.41,33.07,-2.03,-0.67,435553.72,13454
2025/11/17,33.12,34.5,32.7,33.07,33.12,-1.12,-0.37,1086144.13,32609
2025/11/16,32.26,35.88,32.01,33.12,32.26,2.67,0.86,3076106.5,91046
2025/11/13,33.27,34.1,31.53,32.26,33.27,-3.76,-1.25,2643016.0,81377
2025/11/12,30.47,36.5,30.18,33.27,30.47,9.19,2.8,1.2308013E7,357465
2025/11/11,30.47,30.78,30.17,30.47,30.47,-0.98,-0.3,42920.56,1403
2025/11/10,30.47,30.82,30.16,30.47,30.47,0.33,0.1,3143922.5,103205
2025/11/09,30.47,31.4,30.16,30.47,30.47,0.0,0.0,77136.16,2536
2025/11/06,31.44,31.4,30.15,30.47,31.44,-1.75,-0.55,483622.84,15886
2025/11/05,30.97,31.59,30.57,31.44,30.97,-0.87,-0.27,496602.47,15896
2025/11/04,30.83,31.58,30.57,30.97,30.83,-0.84,-0.26,319139.69,10301
2025/11/03,30.83,31.65,31.0,30.83,30.83,0.55,0.17,185515.45,5978
2025/11/02,30.83,31.85,30.82,30.83,30.83,0.23,0.07,150870.22,4838
2025/10/30,30.83,31.59,30.46,30.83,30.83,-0.03,-0.01,191601.69,6142
2025/10/29,31.01,32.0,30.12,30.83,31.01,-0.84,-0.26,878252.44,28029
2025/10/28,30.52,31.5,30.0,31.01,30.52,1.61,0.49,1659823.75,54209
2025/10/27,30.52,30.88,30.07,30.52,30.52,-0.07,-0.02,115071.29,3776
2025/10/26,29.84,30.87,29.21,30.52,29.84,2.28,0.68,1520109.13,50494
2025/10/23,30.1,30.36,29.55,29.84,30.1,-1.66,-0.5,1231842.0,41347
2025/10/22,30.1,30.5,29.81,30.1,30.1,-0.83,-0.25,270035.09,9023
2025/10/21,30.3,30.62,29.85,30.1,30.3,-0.66,-0.2,388344.13,12897
2025/10/20,30.3,30.76,30.04,30.3,30.3,1.12,0.34,226355.92,7488
2025/10/19,30.3,30.94,30.0,30.3,30.3,0.0,0.0,110808.98,3651
2025/10/16,30.29,31.36,30.0,30.3,30.29,0.03,0.01,2205320.25,72279
2025/10/15,30.86,30.96,30.15,30.29,30.86,-1.78,-0.55,466168.72,15332
2025/10/14,30.01,31.4,29.65,30.86,30.01,0.47,0.14,2079372.5,67791
2025/10/13,30.2,30.7,30.0,30.01,30.2,-0.66,-0.2,806350.56,26817
2025/10/12,30.2,32.5,30.0,30.2,30.2,-0.4,-0.12,267808.63,8851
2025/10/08,31.01,32.9,29.1,30.2,31.01,-2.61,-0.81,2503281.75,80924
2025/10/07,29.67,31.8,29.09,31.01,29.67,6.13,1.82,2628966.75,88054
2025/10/06,29.14,30.0,29.02,29.67,29.14,1.2,0.35,958410.19,32527
2025/10/05,29.14,30.0,29.01,29.14,29.14,0.51,0.15,225396.66,7681
2025/10/02,29.92,30.28,29.0,29.14,29.92,-3.04,-0.91,595743.25,20326
2025/10/01,30.01,30.95,29.13,29.92,30.01,-2.33,-0.7,831385.69,27752
2025/09/30,28.73,31.99,28.52,30.01,28.73,4.46,1.28,4586344.5,151957
2025/09/29,28.51,29.6,28.5,28.73,28.51,0.77,0.22,1280886.5,44583
2025/09/28,33.0,29.68,25.3,28.51,33.0,-13.61,-4.49,1589067.38,56296
2025/09/25,33.0,33.49,32.33,33.0,33.0,0.0,0.0,2752022.75,83301
2025/09/24,32.97,33.25,32.9,33.0,32.97,0.09,0.03,856198.63,25935
2025/09/23,33.48,33.99,32.05,32.97,33.48,-1.43,-0.48,1001253.94,30214
2025/09/22,33.14,33.59,32.8,33.48,33.14,1.03,0.34,508574.19,15180
2025/09/21,33.32,33.66,32.72,33.14,33.32,-0.54,-0.18,495057.53,14927
2025/09/18,33.35,33.99,32.92,33.32,33.35,-0.09,-0.03,633679.5,18979
2025/09/17,32.9,33.48,32.12,33.35,32.9,1.76,0.58,795381.25,23946
2025/09/16,33.02,33.6,31.92,32.9,33.02,-0.06,-0.02,300251.09,9125
2025/09/15,32.78,33.5,32.55,33.02,32.78,1.89,0.62,946568.25,28791
2025/09/14,32.78,33.6,32.61,32.78,32.78,0.09,0.03,280588.53,8516
2025/09/11,32.78,33.63,32.65,32.78,32.78,-0.24,-0.08,132674.59,4039
2025/09/10,32.81,33.07,32.5,32.78,32.81,0.58,0.19,759020.56,23128
2025/09/09,32.87,33.95,32.06,32.81,32.87,0.09,0.03,764165.31,23195
2025/09/08,32.76,35.9,31.76,32.87,32.76,0.34,0.11,7621777.5,222768
2025/09/07,33.73,34.99,31.83,32.76,33.73,-2.22,-0.75,2643192.75,79133
2025/09/03,30.14,36.0,29.9,33.73,30.14,11.91,3.59,8857534.0,264530
2025/09/02,30.11,31.3,29.92,30.14,30.11,0.1,0.03,1281245.38,42216
2025/09/01,30.14,31.0,29.8,30.11,30.14,-0.1,-0.03,884276.75,29344
2025/08/31,29.92,31.84,29.02,30.14,29.92,0.4,0.12,3028006.0,98161
2025/08/28,27.89,30.48,28.0,29.92,27.89,7.57,2.11,1741396.25,59672
2025/08/27,27.86,28.49,27.72,27.89,27.86,0.11,0.03,990383.06,35466
2025/08/26,28.24,28.8,27.0,27.86,28.24,-1.49,-0.42,2023488.25,72032
2025/08/25,28.8,29.68,28.0,28.24,28.8,-1.94,-0.56,4198546.0,146028
2025/08/24,29.0,29.87,28.71,28.8,29.0,-0.34,-0.1,3139855.25,108223
2025/08/21,29.01,29.45,28.88,29.0,29.01,-0.03,-0.01,767225.31,26444
2025/08/20,29.51,29.59,29.0,29.01,29.51,-1.73,-0.51,2971030.75,102164
2025/08/19,29.61,29.95,29.44,29.51,29.61,-0.57,-0.17,865357.0,29280
2025/08/18,29.55,30.49,29.02,29.61,29.55,1.35,0.4,1058702.75,35787
2025/08/17,30.24,30.0,28.71,29.55,30.24,-2.28,-0.69,2044257.63,69965
2025/08/14,30.23,31.22,29.62,30.24,30.23,-2.02,-0.61,410123.63,13569
2025/08/13,30.01,31.3,29.6,30.23,30.01,0.73,0.22,313918.31,10383
2025/08/12,30.19,31.6,29.95,30.01,30.19,0.96,0.29,688908.63,22767
2025/08/11,31.2,31.79,30.0,30.19,31.2,-3.85,-1.2,567159.5,18543
2025/08/10,31.12,32.93,31.0,31.2,31.12,0.26,0.08,1572244.25,49951
2025/08/07,32.89,34.99,31.05,31.12,32.89,-5.59,-1.84,1559637.25,48093
2025/08/06,35.05,35.75,32.65,32.89,35.05,-4.39,-1.54,1165438.5,34768
2025/08/05,34.07,36.8,33.43,35.05,34.07,1.12,0.38,2437033.75,69538
2025/08/04,32.63,34.76,32.8,34.07,32.63,4.41,1.44,1543461.25,45022
2025/08/03,31.08,33.47,31.35,32.63,31.08,4.67,1.45,765385.75,23511
2025/07/31,31.63,31.63,31.0,31.08,31.63,-0.41,-0.13,527405.19,16947
2025/07/30,31.63,31.8,31.03,31.63,31.63,0.0,0.0,155734.98,4943
2025/07/29,31.63,31.75,30.8,31.63,31.63,-1.99,-0.63,87358.25,2796
2025/07/28,32.37,32.5,31.0,31.63,32.37,-3.31,-1.07,853873.5,27094
2025/07/27,29.15,34.0,29.2,32.37,29.15,10.29,3.0,2600082.25,81939
2025/07/23,28.97,29.5,29.01,29.15,28.97,0.45,0.13,375715.66,12893
2025/07/22,28.97,29.0,28.98,28.97,28.97,0.1,0.03,168285.77,5803
2025/07/21,28.97,28.98,28.63,28.97,28.97,0.03,0.01,17952.23,626
2025/07/20,28.97,28.99,28.6,28.97,28.97,0.07,0.02,17493.5,611
2025/07/17,28.9,29.0,28.75,28.97,28.9,-0.31,-0.09,315982.88,10906
2025/07/16,29.06,29.49,28.67,28.9,29.06,-0.69,-0.2,704648.94,24391
2025/07/15,28.61,29.46,28.97,29.06,28.61,2.59,0.74,307534.47,10582
2025/07/14,28.61,29.25,28.6,28.61,28.61,0.17,0.05,181554.31,6332
2025/07/13,28.61,29.0,28.12,28.61,28.61,0.0,0.0,193801.67,6817
2025/07/07,27.0,27.52,27.52,27.0,27.0,1.93,0.52,4760.96,173
2025/07/06,27.0,28.87,27.43,27.0,27.0,2.63,0.71,243640.38,8741
2025/07/02,27.0,27.43,26.75,27.0,27.0,0.0,0.0,14407.97,532
2025/07/01,27.0,27.44,27.3,27.0,27.0,1.11,0.3,986.3,36
2025/06/30,27.0,27.49,26.63,27.0,27.0,-1.0,-0.27,21002.27,781
2025/06/29,26.05,27.17,26.51,27.0,26.05,3.65,0.95,965923.0,35772
2025/06/25,26.05,27.14,26.42,26.05,26.05,2.15,0.56,142306.44,5263
2025/06/24,26.05,27.21,26.21,26.05,26.05,4.18,1.09,14878.73,548
2025/06/23,26.05,27.24,25.95,26.05,26.05,4.34,1.13,235908.44,8781
2025/06/22,26.05,26.97,26.5,26.05,26.05,3.53,0.92,49280.73,1839
2025/06/19,25.89,26.8,25.8,26.05,25.89,0.77,0.2,357154.25,13714
2025/06/18,26.87,26.0,25.76,25.89,26.87,-3.24,-0.87,362264.31,13991
2025/06/17,26.87,26.5,25.66,26.87,26.87,-4.17,-1.12,17211.7,668
2025/06/16,26.87,27.0,25.13,26.87,26.87,0.37,0.1,140245.67,5201
2025/06/15,26.87,27.0,25.0,26.87,26.87,0.48,0.13,131507.44,5067
2025/06/12,26.87,27.0,26.7,26.87,26.87,-0.22,-0.06,151076.11,5636
2025/06/11,26.87,27.24,26.71,26.87,26.87,-0.22,-0.06,78427.47,2926
2025/06/10,27.0,27.4,26.8,26.87,27.0,0.0,0.0,306371.41,11403
2025/06/04,27.0,27.69,26.62,27.0,27.0,-1.41,-0.38,235377.23,8704
2025/06/03,26.99,27.0,26.71,27.0,26.99,0.04,0.01,381208.38,14120
2025/06/02,26.99,27.75,26.5,26.99,26.99,0.04,0.01,285938.59,10547
2025/06/01,26.97,28.25,26.46,26.99,26.97,0.11,0.03,317281.53,11756
2025/05/29,26.97,26.95,26.45,26.97,26.97,-0.07,-0.02,89296.95,3369
2025/05/28,26.97,26.97,26.48,26.97,26.97,0.0,0.0,167654.13,6306
2025/05/27,26.97,26.9,26.5,26.97,26.97,-1.74,-0.47,57506.84,2167
2025/05/26,26.97,26.95,26.48,26.97,26.97,-0.11,-0.03,20546.83,764
2025/05/25,26.97,26.97,26.49,26.97,26.97,-0.26,-0.07,48920.0,1829
2025/05/22,26.97,26.97,26.6,26.97,26.97,-1.33,-0.36,37463.61,1406
2025/05/21,26.97,26.97,26.61,26.97,26.97,-1.33,-0.36,12326.86,460
2025/05/20,26.97,26.54,26.49,26.97,26.97,-1.63,-0.44,40981.71,1546
2025/05/19,26.97,26.97,26.5,26.97,26.97,0.0,0.0,115892.81,4354
2025/05/18,26.97,26.97,26.6,26.97,26.97,-1.33,-0.36,6892.76,257
2025/05/15,26.97,27.25,26.27,26.97,26.97,-1.0,-0.27,46702.05,1750
2025/05/14,26.97,26.98,26.26,26.97,26.97,-1.37,-0.37,236950.81,8811
2025/05/08,26.97,27.26,26.92,26.97,26.97,-0.15,-0.04,60838.77,2252
2025/05/07,26.97,27.72,26.92,26.97,26.97,0.11,0.03,259912.84,9628
2025/05/06,26.97,27.05,26.91,26.97,26.97,0.11,0.03,297706.41,11022
2025/05/05,27.02,27.49,26.9,26.97,27.02,-0.07,-0.02,559159.06,20719
2025/05/04,27.0,27.07,27.0,27.02,27.0,0.0,0.0,317288.94,11742
2025/04/30,27.12,27.24,26.67,27.0,27.12,-0.44,-0.12,936165.81,34659
2025/04/29,27.08,27.66,27.05,27.12,27.08,0.07,0.02,607361.75,22334
2025/04/28,27.12,27.39,27.0,27.08,27.12,-0.41,-0.11,670512.38,24744
2025/04/27,27.06,27.79,27.08,27.12,27.06,0.15,0.04,1019389.56,37543
2025/04/23,27.06,27.75,27.3,27.06,27.06,1.63,0.44,75693.6,2750
2025/04/22,28.0,28.0,26.67,27.06,28.0,-2.5,-0.7,673987.63,24711
2025/04/17,27.99,28.3,27.11,28.0,27.99,0.04,0.01,372697.25,13311
2025/04/16,28.0,28.0,27.57,27.99,28.0,-1.25,-0.35,3920577.25,140041
2025/04/15,27.55,28.3,27.99,28.0,27.55,1.63,0.45,1004907.81,35892
2025/04/14,27.55,28.33,27.1,27.55,27.55,-0.18,-0.05,224161.45,8061
2025/04/13,27.55,27.9,27.0,27.55,27.55,-0.18,-0.05,239386.39,8740
2025/04/10,27.74,29.0,27.5,27.55,27.74,-0.68,-0.19,577494.38,20934
2025/04/09,27.74,28.64,28.0,27.74,27.74,0.94,0.26,133078.41,4731
2025/04/08,27.74,28.95,28.0,27.74,27.74,1.05,0.29,61451.17,2175
2025/04/07,27.74,28.96,28.0,27.74,27.74,1.12,0.31,130592.11,4661
2025/04/06,27.74,28.4,28.14,27.74,27.74,2.38,0.66,144902.27,5108
2025/04/03,27.74,29.06,28.0,27.74,27.74,2.02,0.56,32187.05,1148
2025/03/27,27.74,28.99,28.1,27.74,27.74,4.51,1.25,37575.84,1304
2025/03/26,27.74,29.1,28.0,27.74,27.74,4.43,1.23,3740.82,130
2025/03/25,27.74,28.4,28.0,27.74,27.74,0.94,0.26,140290.0,4967
2025/03/24,27.74,29.15,28.0,27.74,27.74,2.38,0.66,159677.45,5636
2025/03/23,27.74,29.74,28.0,27.74,27.74,5.26,1.46,99502.12,3445
2025/03/20,30.35,28.0,27.0,27.74,30.35,-7.74,-2.35,620074.81,22520
2025/03/19,27.04,32.44,27.11,30.35,27.04,7.84,2.12,1130687.75,38588
2025/03/18,27.04,27.15,27.09,27.04,27.04,0.41,0.11,281388.09,10365
2025/03/17,27.04,27.49,27.1,27.04,27.04,0.22,0.06,135421.44,4997
2025/03/16,27.04,27.85,27.07,27.04,27.04,0.37,0.1,285325.59,10513
2025/03/13,27.04,27.96,27.02,27.04,27.04,0.22,0.06,204223.42,7545
2025/03/12,27.04,27.8,27.0,27.04,27.04,-0.07,-0.02,126618.75,4668
2025/03/11,27.04,27.89,27.01,27.04,27.04,0.04,0.01,127281.08,4705
2025/03/10,27.04,27.25,27.24,27.04,27.04,0.74,0.2,216942.47,7964
2025/03/09,27.04,27.99,27.2,27.04,27.04,0.59,0.16,16390.68,594
2025/03/06,27.04,27.5,27.04,27.04,27.04,0.67,0.18,13760.44,505
2025/03/05,27.04,27.17,27.15,27.04,27.04,0.48,0.13,23338.93,859
2025/03/04,27.04,27.5,27.07,27.04,27.04,0.3,0.08,64127.7,2360
2025/03/03,27.04,27.22,27.07,27.04,27.04,0.11,0.03,16816.81,620
2025/03/02,27.04,27.04,27.04,27.04,27.04,0.0,0.0,81.12,3
2025/02/27,27.04,27.99,27.2,27.04,27.04,2.44,0.66,3387.63,124
2025/02/26,27.04,27.97,27.2,27.04,27.04,1.59,0.43,31535.86,1146
2025/02/25,27.04,28.0,27.2,27.04,27.04,0.59,0.16,5907.4,216
2025/02/24,27.04,28.5,27.1,0.0,27.04,0.48,0.13,35427.45,1290
2025/02/23,27.04,28.8,27.44,27.04,27.04,1.48,0.4,49604.87,1784
2025/02/20,27.04,27.5,27.45,27.04,27.04,1.52,0.41,64211.4,2336
2025/02/19,27.04,27.74,27.4,27.04,27.04,1.7,0.46,102421.21,3726
2025/02/18,27.04,27.89,27.17,27.04,27.04,2.29,0.62,97478.76,3562
2025/02/17,29.15,29.0,27.0,27.04,29.15,-7.34,-2.14,808621.31,29342
2025/02/16,29.15,29.0,28.01,29.15,29.15,-0.86,-0.25,42010.5,1460
2025/02/13,29.15,29.0,28.01,29.15,29.15,-3.91,-1.14,20287.54,711
2025/02/12,29.15,29.1,27.5,29.15,29.15,-0.51,-0.15,66438.46,2378
2025/02/11,29.15,29.09,28.0,0.0,29.15,-3.95,-1.15,113243.53,4033
2025/02/09,29.15,28.9,28.0,29.15,29.15,-0.89,-0.26,19040.4,674
2025/02/06,29.15,29.9,27.76,29.15,29.15,-3.95,-1.15,105140.07,3608
2025/02/05,29.15,28.95,24.15,29.15,29.15,-4.77,-1.39,80909.29,2977
2025/02/04,29.15,28.99,28.32,29.15,29.15,-2.85,-0.83,29538.3,1042
2025/02/03,29.15,29.1,28.25,29.15,29.15,-2.71,-0.79,1562.02,55
2025/02/02,29.15,28.7,28.5,29.15,29.15,-2.23,-0.65,3145.0,110
2025/01/30,29.15,28.5,28.13,29.15,29.15,-2.23,-0.65,7135.39,253
2025/01/29,29.15,29.0,28.17,29.15,29.15,-0.51,-0.15,14551.89,515
2025/01/28,29.15,28.98,28.17,29.15,29.15,-3.36,-0.98,57598.61,2036
2025/01/27,29.15,28.3,28.26,29.15,29.15,-2.92,-0.85,70834.78,2503
2025/01/26,29.15,28.9,28.23,29.15,29.15,-3.09,-0.9,76666.13,2681
2025/01/23,29.15,28.97,28.25,29.15,29.15,-0.65,-0.19,65247.3,2258
2025/01/22,29.15,29.07,28.25,29.15,29.15,-0.72,-0.21,46318.47,1615
2025/01/21,29.15,29.07,28.8,29.15,29.15,-0.38,-0.11,10492.89,362
2025/01/20,29.15,29.39,28.01,29.15,29.15,-0.34,-0.1,226730.22,7934
2025/01/19,29.15,29.13,28.5,29.15,29.15,-0.45,-0.13,148956.92,5136
2025/01/16,29.15,29.14,28.99,29.15,29.15,-0.55,-0.16,13373.54,461
2025/01/15,29.15,29.05,28.1,29.15,29.15,-0.34,-0.1,76450.98,2713
2025/01/14,29.15,29.7,27.9,29.15,29.15,-3.98,-1.16,24337.87,869
2025/01/13,29.15,29.7,28.5,29.15,29.15,-0.51,-0.15,41363.7,1421
2025/01/12,29.15,29.7,27.6,29.15,29.15,1.89,0.55,9246.41,329
2025/01/09,29.15,29.15,26.12,29.15,29.15,0.0,0.0,42903.51,1531
2025/01/08,29.15,29.15,28.4,29.15,29.15,0.0,0.0,3728.95,128
2025/01/06,29.15,29.2,28.01,29.15,29.15,-0.34,-0.1,135314.34,4686
2025/01/05,29.15,29.15,29.0,29.15,29.15,-0.51,-0.15,1164.7,40
