«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,68.3,68.97,66.5,67.35,68.3,-2.61,-1.78,498543.84,7370
2026/01/12,69.38,70.7,67.16,68.3,69.38,-3.2,-2.22,2051343.63,29599
2026/01/11,69.83,70.7,69.1,69.38,69.83,-0.93,-0.65,849613.25,12155
2026/01/08,68.95,70.71,68.64,69.83,68.95,1.52,1.05,1906460.38,27376
2026/01/06,67.91,71.4,67.85,68.95,67.91,1.21,0.82,7597284.5,108837
2026/01/05,69.11,69.9,67.0,67.91,69.11,-1.88,-1.3,2604560.5,37929
2026/01/04,66.33,70.49,65.16,69.11,66.33,4.19,2.78,3580225.75,51951
2025/12/31,67.29,69.0,66.0,66.33,67.29,-1.43,-0.96,1165824.25,17372
2025/12/30,69.03,70.64,67.01,67.29,69.03,-2.52,-1.74,1694397.75,24926
2025/12/29,68.09,71.7,67.0,69.03,68.09,1.38,0.94,6863095.5,99751
2025/12/28,63.62,73.5,63.04,68.09,63.62,8.14,5.18,3.0839974E7,445868
2025/12/25,63.85,65.9,52.6,63.62,63.85,-0.36,-0.23,6470355.5,102336
2025/12/24,63.44,64.19,63.01,63.85,63.44,0.65,0.41,829520.25,13013
2025/12/23,64.05,64.87,63.0,63.44,64.05,-1.41,-0.9,1271772.13,20027
2025/12/22,64.61,65.24,64.0,64.05,64.61,-0.87,-0.56,1036179.75,16161
2025/12/21,64.38,65.7,64.38,64.61,64.38,0.2,0.13,509355.69,7859
2025/12/18,64.68,66.0,64.0,64.38,64.68,0.42,0.27,995101.75,15334
2025/12/17,63.85,66.4,63.8,64.68,63.85,1.3,0.83,3254272.25,49871
2025/12/16,64.4,64.77,63.52,63.85,64.4,-0.85,-0.55,440173.75,6888
2025/12/15,64.24,64.93,63.2,64.4,64.24,0.25,0.16,998738.81,15593
2025/12/14,64.44,65.4,63.41,64.24,64.44,-0.68,-0.44,451309.81,7015
2025/12/11,64.0,65.65,64.0,64.44,64.0,0.69,0.44,654267.94,10135
2025/12/10,65.34,65.98,63.6,64.0,65.34,-1.36,-0.89,2441863.5,37951
2025/12/09,63.54,68.59,63.31,65.34,63.54,2.83,1.8,1.1962367E7,180566
2025/12/08,63.37,64.47,63.14,63.54,63.37,0.27,0.17,1091493.13,17145
2025/12/07,63.38,64.7,63.04,63.37,63.38,-0.02,-0.01,553297.19,8699
2025/12/04,63.73,64.98,63.0,63.38,63.73,-1.15,-0.73,734948.81,11505
2025/12/03,64.92,65.19,63.06,63.73,64.92,-1.83,-1.19,906528.06,14154
2025/12/02,64.59,65.5,63.03,64.92,64.59,0.51,0.33,1440347.38,22350
2025/12/01,64.61,66.0,64.5,64.59,64.61,-0.17,-0.11,624137.75,9632
2025/11/30,64.97,67.25,64.41,64.61,64.97,-0.55,-0.36,1546892.5,23624
2025/11/27,65.5,67.96,63.6,64.97,65.5,-0.81,-0.53,1735042.38,26593
2025/11/26,64.42,69.5,62.13,65.5,64.42,1.68,1.08,6347916.5,95474
2025/11/25,67.28,68.5,64.09,64.42,67.28,-4.25,-2.86,1682127.38,25486
2025/11/24,67.03,67.97,67.0,67.28,67.03,-0.04,-0.03,818300.5,12121
2025/11/23,69.15,70.0,66.02,67.03,69.15,-2.68,-1.85,1935690.0,28501
2025/11/20,69.73,71.0,69.0,69.15,69.73,-0.73,-0.51,1024683.06,14762
2025/11/19,70.29,71.89,69.34,69.73,70.29,-1.12,-0.79,3678708.0,52544
