«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,199.94,200.0,198.21,199.94,199.94,-0.67,-1.34,176098.84,886
2026/01/12,200.73,204.2,198.15,199.94,200.73,-1.26,-2.53,528877.94,2640
2026/01/11,203.36,204.8,200.0,200.73,203.36,-1.65,-3.36,678052.44,3366
2026/01/08,201.21,205.75,201.0,203.36,201.21,0.29,0.59,726000.69,3569
2026/01/06,201.47,203.83,200.75,201.21,201.47,-0.23,-0.47,692554.0,3440
2026/01/05,201.47,204.67,200.28,201.47,201.47,0.01,0.03,112196.34,555
2026/01/04,204.32,207.4,200.05,201.47,204.32,-1.39,-2.85,597088.81,2954
2025/12/31,206.15,208.38,202.5,204.32,206.15,-0.56,-1.16,1566067.88,7671
2025/12/30,204.08,214.0,205.0,206.15,204.08,1.01,2.07,6266675.5,29882
2025/12/29,204.52,206.0,203.5,204.08,204.52,-0.5,-1.02,774431.44,3789
2025/12/28,203.58,209.5,204.3,204.52,203.58,0.48,0.97,1165113.25,5659
2025/12/25,201.23,212.89,202.0,203.58,201.23,1.17,2.35,1.531684E7,73697
2025/12/24,199.29,203.74,198.48,201.23,199.29,1.71,3.4,716525.56,3560
2025/12/23,198.01,203.3,198.15,199.29,198.01,0.37,0.74,586191.56,2924
2025/12/22,199.79,205.8,197.65,198.01,199.79,-0.9,-1.79,2628201.0,13050
2025/12/21,198.58,202.5,197.0,199.79,198.58,0.21,0.42,1125220.5,5675
2025/12/18,199.13,202.5,198.33,198.58,199.13,-0.4,-0.8,555380.25,2788
2025/12/17,201.26,202.89,198.5,199.13,201.26,-1.06,-2.13,1440803.38,7194
2025/12/16,202.0,203.0,200.4,201.26,202.0,-0.37,-0.74,709340.69,3517
2025/12/15,201.67,205.89,201.4,202.0,201.67,0.16,0.33,1719416.88,8452
2025/12/14,199.93,215.0,200.0,201.67,199.93,1.41,2.82,8969590.0,43629
2025/12/11,204.26,209.5,199.4,199.93,204.26,-2.12,-4.33,4218536.0,20830
2025/12/10,199.0,218.0,200.05,204.26,199.0,2.64,5.25,2.1166972E7,100658
2025/12/09,199.85,209.95,195.25,199.0,199.85,-0.43,-0.85,5619083.0,27778
2025/12/08,200.44,203.8,198.75,199.85,200.44,-0.29,-0.59,807657.94,4029
2025/12/07,200.61,209.0,200.0,200.44,200.61,1.49,2.99,3509687.25,17227
2025/12/04,209.26,212.84,200.1,200.61,209.26,-3.47,-7.27,5108024.0,25081
2025/12/03,215.63,227.99,207.0,209.26,215.63,-2.95,-6.37,3.0045286E7,137828
