«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,88.42,92.5,86.27,86.66,88.42,-1.99,-1.76,1.0332461E7,115522
2026/01/12,88.95,93.45,87.55,88.42,88.95,-0.6,-0.53,1.484671E7,164381
2026/01/11,92.51,94.89,88.8,88.95,92.51,-3.85,-3.56,1.7741688E7,193426
2026/01/08,85.99,98.5,88.75,92.51,85.99,7.58,6.52,6.12541E7,652744
2026/01/06,87.0,92.0,85.0,85.99,87.0,-1.16,-1.01,2.6515906E7,301307
2026/01/05,78.45,91.5,78.5,87.0,78.45,10.9,8.55,3.0097748E7,345826
2026/01/04,80.74,83.7,78.11,78.45,80.74,-3.15,-2.54,2093357.88,26415
2025/12/31,78.95,84.78,78.56,80.74,78.95,2.27,1.79,8768534.0,107446
2025/12/30,81.01,82.99,78.25,78.95,81.01,-2.54,-2.06,3861379.25,48094
2025/12/29,80.33,86.89,78.12,81.01,80.33,0.85,0.68,1.0143711E7,122519
2025/12/28,81.76,89.8,76.01,80.33,81.76,-1.75,-1.43,2.451742E7,298525
2025/12/25,68.66,82.0,68.0,81.76,68.66,19.08,13.1,1.8442336E7,244830
2025/12/24,67.81,72.95,66.5,68.66,67.81,1.77,1.2,3557860.25,51432
2025/12/23,67.79,69.1,64.5,67.81,67.79,0.03,0.02,1851434.38,27731
2025/12/22,69.98,71.5,66.1,67.79,69.98,-3.13,-2.19,3182187.75,46726
2025/12/21,69.81,76.8,67.02,69.98,69.81,0.24,0.17,1.3606387E7,189536
2025/12/18,70.21,82.0,68.91,69.81,70.21,-0.57,-0.4,2.2115398E7,290576
2025/12/17,58.51,70.21,64.0,70.21,58.51,20.0,11.7,1.169704E7,170610
2025/12/16,60.76,61.64,57.6,58.51,60.76,-3.7,-2.25,1665912.75,28569
2025/12/15,55.68,61.9,55.0,60.76,55.68,9.12,5.08,3775116.0,64975
